Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Condition,Collections
Zetlight ZN1050 LED 3-in-1,zetlight-zn1050-led,Premium aquarium LED light - white blue white+blue modes. Professional grade lighting for planted tanks and marine setups.,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;plant;marine,TRUE,Active,ZETLN1050,,,,,,,,,,,441.03,550,339.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,Zetlight ZN1050 LED 3-in-1 | AquaCube South Africa,Shop Zetlight ZN1050 LED 3-in-1 online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight E3 24W Freshwater Plant,zetlight-e3-24w-freshwater-plant,24W freshwater plant LED with natural spectrum for optimal plant growth,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;plant;freshwater,TRUE,Active,ZETE324WPLANT,,,,,,,,,,,1233.38,1500,948.75,TRUE,,,,,,shopify,10,DENY,250,g,TRUE,manual,FALSE,Zetlight E3 24W Freshwater Plant | AquaCube South Africa,Shop Zetlight E3 24W Freshwater Plant online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight E3 24W Marine,zetlight-e3-24w-marine,24W marine LED with blue spectrum optimized for coral and marine life,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;coral,TRUE,Active,ZETE324WMARINE,,,,,,,,,,,1233.38,1500,948.75,TRUE,,,,,,shopify,10,DENY,250,g,TRUE,manual,FALSE,Zetlight E3 24W Marine | AquaCube South Africa,Shop Zetlight E3 24W Marine online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight ZA1201AI Marine,zetlight-za1201ai-marine,22W marine LED with smart app control - AI scheduling for reef tanks,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;smart;app,TRUE,Active,ZETZA1201AI,,,,,,,,,,,1719.25,2100,1322.50,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,Zetlight ZA1201AI Marine | AquaCube South Africa,Shop Zetlight ZA1201AI Marine online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight O2 Freshwater Hanging Kits,zetlight-o2-freshwater-hanging,70W freshwater plant LED with professional hanging kit included,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;plant;hanging,TRUE,Active,ZETO2FRESHWATER,,,,,,,,,,,3214.25,3950,2472.50,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Zetlight O2 Freshwater Hanging Kits | AquaCube South Africa,Shop Zetlight O2 Freshwater Hanging Kits online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight UFO F8 PRO Algae Bursting,zetlight-ufo-f8-pro-algae,95W UFO format LED designed for rainforest and algae cultivation,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;plant;ufo,TRUE,Active,ZETUFO8PRO,,,,,,,,,,,4014.08,4950,3087.75,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,FALSE,Zetlight UFO F8 PRO Algae Bursting | AquaCube South Africa,Shop Zetlight UFO F8 PRO Algae Bursting online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight X9 66W Marine RGB,zetlight-x9-66w-marine-rgb,66W marine RGB LED with app control and sunset simulation,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;rgb;app,TRUE,Active,ZETX966WMARINE,,,,,,,,,,,3064.75,3750,2357.50,TRUE,,,,,,shopify,10,DENY,350,g,TRUE,manual,FALSE,Zetlight X9 66W Marine RGB | AquaCube South Africa,Shop Zetlight X9 66W Marine RGB online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight X9 PRO 96W Marine RGB,zetlight-x9-pro-96w-marine-rgb,96W marine RGB LED pro version with advanced app control,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;rgb;pro,TRUE,Active,ZETX9PRO96W,,,,,,,,,,,4260.75,5200,3277.50,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Zetlight X9 PRO 96W Marine RGB | AquaCube South Africa,Shop Zetlight X9 PRO 96W Marine RGB online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight Qmaven II Q6-90 Marine,zetlight-qmaven-ii-q6-90,160W professional marine LED for large reef tanks,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;professional,TRUE,Active,ZETQMAVEN90,,,,,,,,,,,8596.25,10500,6612.50,TRUE,,,,,,shopify,10,DENY,500,g,TRUE,manual,FALSE,Zetlight Qmaven II Q6-90 Marine | AquaCube South Africa,Shop Zetlight Qmaven II Q6-90 Marine online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Zetlight Qmaven II Q6-120 Marine,zetlight-qmaven-ii-q6-120,210W professional marine LED for extra-large reef tanks,Zetlight,Aquarium & Pond > Lighting,LED Aquarium Light,lighting;zetlight;marine;professional,TRUE,Active,ZETQMAVEN120,,,,,,,,,,,11287.25,13800,8682.50,TRUE,,,,,,shopify,10,DENY,550,g,TRUE,manual,FALSE,Zetlight Qmaven II Q6-120 Marine | AquaCube South Africa,Shop Zetlight Qmaven II Q6-120 Marine online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
