Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Condition,Collections
Betta Bed with Suction Cup A,betta-bed-with-suction-cup-a,Suction cup betta bed rest hammock style A,Aquatic,Aquarium & Pond > Decorations,Betta Bed,"decoration, betta, hammock, suction, decorations",TRUE,Active,BETTABED001,,,,,,,,,,,37.38,47,28.75,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,FALSE,Betta Bed with Suction Cup A | AquaCube South Africa,Shop Betta Bed with Suction Cup A online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Betta Bed with Suction Cup B,betta-bed-with-suction-cup-b,Suction cup betta bed rest hammock style B,Aquatic,Aquarium & Pond > Decorations,Betta Bed,"decoration, betta, hammock, suction, decorations",TRUE,Active,BETTABED002,,,,,,,,,,,37.38,47,28.75,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,FALSE,Betta Bed with Suction Cup B | AquaCube South Africa,Shop Betta Bed with Suction Cup B online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Betta Bed with Suction Cup C,betta-bed-with-suction-cup-c,Suction cup betta bed rest hammock style C,Aquatic,Aquarium & Pond > Decorations,Betta Bed,"decoration, betta, hammock, suction, decorations",TRUE,Active,BETTABED003,,,,,,,,,,,37.38,47,28.75,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,FALSE,Betta Bed with Suction Cup C | AquaCube South Africa,Shop Betta Bed with Suction Cup C online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Betta Bed with Clear Tube D,betta-bed-with-clear-tube-d,Betta bed with clear tube insert style D,Aquatic,Aquarium & Pond > Decorations,Betta Bed,"decoration, betta, tube, clear, decorations",TRUE,Active,BETTABED004,,,,,,,,,,,59.80,76,46.00,TRUE,,,,,,shopify,10,DENY,80,g,TRUE,manual,FALSE,Betta Bed with Clear Tube D | AquaCube South Africa,Shop Betta Bed with Clear Tube D online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
SpongeBob Pineapple Home Ornament,spongebob-pineapple-home-ornament,SpongeBob cartoon pineapple house ornament,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, spongebob, cartoon, decorations",TRUE,Active,ORNAMENT004,,,,,,,,,,,53.82,68,41.40,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,SpongeBob Pineapple Home Ornament | AquaCube South Africa,Shop SpongeBob Pineapple Home Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
SpongeBob Home Set 3pcs Ornament,spongebob-home-set-3pcs-ornament,Complete 3 piece SpongeBob home set,Aquatic,Aquarium & Pond > Decorations,Character Ornament,"decoration, ornament, spongebob, set, decorations",TRUE,Active,ORNAMENT005,,,,,,,,,,,134.55,171,103.50,TRUE,,,,,,shopify,10,DENY,600,g,TRUE,manual,FALSE,SpongeBob Home Set 3pcs Ornament | AquaCube South Africa,Shop SpongeBob Home Set 3pcs Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mermaid and Pink Seahorse Ornament,mermaid-and-pink-seahorse-ornament,Pink mermaid with seahorse decoration,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, mermaid, pink, decorations",TRUE,Active,ORNAMENT006,,,,,,,,,,,82.23,104,63.25,TRUE,,,,,,shopify,10,DENY,250,g,TRUE,manual,FALSE,Mermaid and Pink Seahorse Ornament | AquaCube South Africa,Shop Mermaid and Pink Seahorse Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mermaid and Blue Seahorse Ornament,mermaid-and-blue-seahorse-ornament,Blue mermaid with seahorse decoration,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, mermaid, blue, decorations",TRUE,Active,ORNAMENT007,,,,,,,,,,,82.23,104,63.25,TRUE,,,,,,shopify,10,DENY,250,g,TRUE,manual,FALSE,Mermaid and Blue Seahorse Ornament | AquaCube South Africa,Shop Mermaid and Blue Seahorse Ornament online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mermaid Ornament 15x12x6,mermaid-ornament-15x12x6,Large mermaid statue 15x12x6cm,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, mermaid, large, decorations",TRUE,Active,ORNAMENT008,,,,,,,,,,,104.65,133,80.50,TRUE,,,,,,shopify,10,DENY,320,g,TRUE,manual,FALSE,Mermaid Ornament 15x12x6 | AquaCube South Africa,Shop Mermaid Ornament 15x12x6 online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
Mermaid Ornament 14x15x6 Large,mermaid-ornament-14x15x6-large,Extra large mermaid statue 14x15x6cm,Aquatic,Aquarium & Pond > Decorations,Fantasy Ornament,"decoration, ornament, mermaid, extra-large, decorations",TRUE,Active,ORNAMENT009,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,FALSE,Mermaid Ornament 14x15x6 Large | AquaCube South Africa,Shop Mermaid Ornament 14x15x6 Large online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Decorations,New,Decorations
