Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Condition,Collections
DR Tank All in One Fertilizer NP Zero 250ml,dr-tank-all-in-one-fertilizer-np-zero-250ml,All-in-one plant fertilizer NPK balance 250ml,DRTank,Aquarium & Pond > Water Treatment,Fertilizer,fertilizer;plant;dr-tank;all-in-one;250ml,TRUE,Active,DRTANKALL250,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,DR Tank All in One Fertilizer NP Zero 250ml | AquaCube South Africa,Shop DR Tank All in One Fertilizer NP Zero 250ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank Complete Comprehensive Fertilizer 250ml,dr-tank-complete-comprehensive-fertilizer-250ml,Comprehensive plant fertilizer with trace elements 250ml,DRTank,Aquarium & Pond > Water Treatment,Fertilizer,fertilizer;plant;dr-tank;comprehensive;250ml,TRUE,Active,DRTANKCOMP250,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,DR Tank Complete Comprehensive Fertilizer 250ml | AquaCube South Africa,Shop DR Tank Complete Comprehensive Fertilizer 250ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank E1 Method Fast Growth 250ml,dr-tank-e1-method-fast-growth-250ml,E1 method fast growth fertilizer 250ml,DRTank,Aquarium & Pond > Water Treatment,Fertilizer,fertilizer;plant;dr-tank;e1;250ml,TRUE,Active,DRTANKE1,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,DR Tank E1 Method Fast Growth 250ml | AquaCube South Africa,Shop DR Tank E1 Method Fast Growth 250ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank ALGAE lite Remover 250ml,dr-tank-algae-lite-remover-250ml,Algae removal treatment 250ml,DRTank,Aquarium & Pond > Water Treatment,Algae Control,algae;treatment;dr-tank;lite;250ml,TRUE,Active,DRTANKALGAE,,,,,,,,,,,156.98,199,120.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,DR Tank ALGAE lite Remover 250ml | AquaCube South Africa,Shop DR Tank ALGAE lite Remover 250ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank Planarian Remover 100ml,dr-tank-planarian-remover-100ml,Planarian flatworm removal 100ml,DRTank,Aquarium & Pond > Water Treatment,Pest Control,pest;treatment;dr-tank;planarian;100ml,TRUE,Active,DRTANKPLAN,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank Planarian Remover 100ml | AquaCube South Africa,Shop DR Tank Planarian Remover 100ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank Snail Remover 100ml,dr-tank-snail-remover-100ml,Snail pest removal treatment 100ml,DRTank,Aquarium & Pond > Water Treatment,Pest Control,pest;treatment;dr-tank;snail;100ml,TRUE,Active,DRTANKSNAIL,,,,,,,,,,,127.08,161,97.75,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank Snail Remover 100ml | AquaCube South Africa,Shop DR Tank Snail Remover 100ml online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank BBA Remover,dr-tank-bba-remover,Black brush algae removal treatment,DRTank,Aquarium & Pond > Water Treatment,Algae Control,algae;treatment;dr-tank;bba;black-brush,TRUE,Active,DRTANKBBA,,,,,,,,,,,112.13,142,86.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank BBA Remover | AquaCube South Africa,Shop DR Tank BBA Remover online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank Staghorn Algae Remover,dr-tank-staghorn-algae-remover,Staghorn algae removal treatment,DRTank,Aquarium & Pond > Water Treatment,Algae Control,algae;treatment;dr-tank;staghorn,TRUE,Active,DRTANKSTAGHORN,,,,,,,,,,,112.13,142,86.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank Staghorn Algae Remover | AquaCube South Africa,Shop DR Tank Staghorn Algae Remover online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank Cladophora Algae Remover,dr-tank-cladophora-algae-remover,Cladophora algae removal treatment,DRTank,Aquarium & Pond > Water Treatment,Algae Control,algae;treatment;dr-tank;cladophora,TRUE,Active,DRTANKCLADOPHORA,,,,,,,,,,,112.13,142,86.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank Cladophora Algae Remover | AquaCube South Africa,Shop DR Tank Cladophora Algae Remover online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
DR Tank BGA Remover,dr-tank-bga-remover,Blue green algae removal treatment,DRTank,Aquarium & Pond > Water Treatment,Algae Control,algae;treatment;dr-tank;bga;blue-green,TRUE,Active,DRTANKBGA,,,,,,,,,,,112.13,142,86.25,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,DR Tank BGA Remover | AquaCube South Africa,Shop DR Tank BGA Remover online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Water Treatment,New,Water Treatment
