Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Condition,Collections
Akwa LED 5W White & Blue Light,akwa-led-5w-white-blue,5W LED light white and blue mode,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;5w;white;blue,TRUE,Active,LED0010,,,,,,,,,,,212.59,,142.20,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,Akwa LED 5W White & Blue Light | AquaCube South Africa,Shop Akwa LED 5W White & Blue Light online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa LED 5W Multi Colour Light,akwa-led-5w-multi-colour,5W LED light multi-colour mode,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;5w;multicolour,TRUE,Active,LED0011,,,,,,,,,,,212.59,,142.20,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,Akwa LED 5W Multi Colour Light | AquaCube South Africa,Shop Akwa LED 5W Multi Colour Light online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin Clamp LED Mini Tank,akwa-dophin-clamp-led-mini-tank,Dophin clamp LED for GT8003 mini tank,Akwa,Aquarium & Pond > Lighting,Clamp Light,led;akwa;clamp;dophin;mini,TRUE,Active,LED0105,,,,,,,,,,,420.02,,280.95,TRUE,,,,,,shopify,10,DENY,150,g,TRUE,manual,FALSE,Akwa Dophin Clamp LED Mini Tank | AquaCube South Africa,Shop Akwa Dophin Clamp LED Mini Tank online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1088 RGB 35cm 12W,akwa-dophin-led-1088-rgb-35cm-12w,Dophin LED RGB 35cm 12W light,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;rgb;35cm;12w,TRUE,Active,LED1088R,,,,,,,,,,,532.96,,356.50,TRUE,,,,,,shopify,10,DENY,250,g,TRUE,manual,FALSE,Akwa Dophin LED-1088 RGB 35cm 12W | AquaCube South Africa,Shop Akwa Dophin LED-1088 RGB 35cm 12W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1089 BioLux 45cm 17W,akwa-dophin-led-1089-biolux-45cm-17w,Dophin LED BioLux plant light 45cm 17W,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;biolux;plant;45cm,TRUE,Active,LED1089B,,,,,,,,,,,641.88,,429.35,TRUE,,,,,,shopify,10,DENY,280,g,TRUE,manual,FALSE,Akwa Dophin LED-1089 BioLux 45cm 17W | AquaCube South Africa,Shop Akwa Dophin LED-1089 BioLux 45cm 17W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1089 Marine 45cm 17W,akwa-dophin-led-1089-marine-45cm-17w,Dophin LED marine light 45cm 17W,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;marine;45cm,TRUE,Active,LED1089M,,,,,,,,,,,641.88,,429.35,TRUE,,,,,,shopify,10,DENY,280,g,TRUE,manual,FALSE,Akwa Dophin LED-1089 Marine 45cm 17W | AquaCube South Africa,Shop Akwa Dophin LED-1089 Marine 45cm 17W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1089 RGB 45cm 17W,akwa-dophin-led-1089-rgb-45cm-17w,Dophin LED RGB 45cm 17W light,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;rgb;45cm;17w,TRUE,Active,LED1089R,,,,,,,,,,,641.88,,429.35,TRUE,,,,,,shopify,10,DENY,280,g,TRUE,manual,FALSE,Akwa Dophin LED-1089 RGB 45cm 17W | AquaCube South Africa,Shop Akwa Dophin LED-1089 RGB 45cm 17W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1090 Marine 60cm 20W,akwa-dophin-led-1090-marine-60cm-20w,Dophin LED marine light 60cm 20W,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;marine;60cm,TRUE,Active,LED1090M,,,,,,,,,,,812.90,,543.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,Akwa Dophin LED-1090 Marine 60cm 20W | AquaCube South Africa,Shop Akwa Dophin LED-1090 Marine 60cm 20W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Dophin LED-1090 RGB 60cm 20W,akwa-dophin-led-1090-rgb-60cm-20w,Dophin LED RGB 60cm 20W light,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;dophin;rgb;60cm;20w,TRUE,Active,LED1090R,,,,,,,,,,,812.90,,543.75,TRUE,,,,,,shopify,10,DENY,300,g,TRUE,manual,FALSE,Akwa Dophin LED-1090 RGB 60cm 20W | AquaCube South Africa,Shop Akwa Dophin LED-1090 RGB 60cm 20W online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Fullgain Flat LED 10W 30cm,akwa-fullgain-flat-led-10w-30cm,Fullgain flat LED 10W 30cm,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;fullgain;flat;10w;30cm,TRUE,Active,FG0300,,,,,,,,,,,618.95,,299.00,TRUE,,,,,,shopify,10,DENY,200,g,TRUE,manual,FALSE,Akwa Fullgain Flat LED 10W 30cm | AquaCube South Africa,Shop Akwa Fullgain Flat LED 10W 30cm online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
Akwa Fullgain Flat LED 14W 45cm,akwa-fullgain-flat-led-14w-45cm,Fullgain flat LED 14W 45cm,Akwa,Aquarium & Pond > Lighting,LED Light,led;akwa;fullgain;flat;14w;45cm,TRUE,Active,FG0301,,,,,,,,,,,805.85,,389.30,TRUE,,,,,,shopify,10,DENY,220,g,TRUE,manual,FALSE,Akwa Fullgain Flat LED 14W 45cm | AquaCube South Africa,Shop Akwa Fullgain Flat LED 14W 45cm online. Quality aquarium equipment at competitive prices. Fast delivery SA-wide.,Pet Supplies > Fish Supplies > Aquarium Lighting,New,Lighting
