SKU,Title,Image_Search_URL,Image_Src
ZETLN1050,Zetlight ZN1050 LED 3-in-1,https://www.bing.com/images/search?q=Zetlight%20ZN1050%20LED%203-in-1,
ZETE324WPLANT,Zetlight E3 24W Freshwater Plant,https://www.bing.com/images/search?q=Zetlight%20E3%2024W%20Freshwater%20Plant,
ZETE324WMARINE,Zetlight E3 24W Marine,https://www.bing.com/images/search?q=Zetlight%20E3%2024W%20Marine,
ZETZA1201AI,Zetlight ZA1201AI Marine,https://www.bing.com/images/search?q=Zetlight%20ZA1201AI%20Marine,
ZETO2FRESHWATER,Zetlight O2 Freshwater Hanging Kits,https://www.bing.com/images/search?q=Zetlight%20O2%20Freshwater%20Hanging%20Kits,
ZETUFO8PRO,Zetlight UFO F8 PRO Algae Bursting,https://www.bing.com/images/search?q=Zetlight%20UFO%20F8%20PRO%20Algae%20Bursting,
ZETX966WMARINE,Zetlight X9 66W Marine RGB,https://www.bing.com/images/search?q=Zetlight%20X9%2066W%20Marine%20RGB,
ZETX9PRO96W,Zetlight X9 PRO 96W Marine RGB,https://www.bing.com/images/search?q=Zetlight%20X9%20PRO%2096W%20Marine%20RGB,
ZETQMAVEN90,Zetlight Qmaven II Q6-90 Marine,https://www.bing.com/images/search?q=Zetlight%20Qmaven%20II%20Q6-90%20Marine,
ZETQMAVEN120,Zetlight Qmaven II Q6-120 Marine,https://www.bing.com/images/search?q=Zetlight%20Qmaven%20II%20Q6-120%20Marine,
CHIAII301,Chihiros AII 301 30cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20301%2030cm%20Bluetooth,
CHIAII361,Chihiros AII 361 36cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20361%2036cm%20Bluetooth,
CHIAII451,Chihiros AII 451 45cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20451%2045cm%20Bluetooth,
CHIAII601,Chihiros AII 601 60cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20601%2060cm%20Bluetooth,
CHIAII801,Chihiros AII 801 80cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20801%2080cm%20Bluetooth,
CHIAII901,Chihiros AII 901 90cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%20901%2090cm%20Bluetooth,
CHIAII1201,Chihiros AII 1201 120cm Bluetooth,https://www.bing.com/images/search?q=Chihiros%20AII%201201%20120cm%20Bluetooth,
CHIWRGB2S30,Chihiros WRGB II SLIM 30 Plant,https://www.bing.com/images/search?q=Chihiros%20WRGB%20II%20SLIM%2030%20Plant,
CHIWRGB2S45,Chihiros WRGB II SLIM 45 Plant,https://www.bing.com/images/search?q=Chihiros%20WRGB%20II%20SLIM%2045%20Plant,
