facility,species,morph,sex,life_stage,notes
Factory,Bredli python,,male,adult,
Factory,Bredli python,,female,adult,
Factory,Blood python,het albino,male,adult,
Factory,Blood python,,female,adult,
Factory,Blood python,,female,adult,
Factory,Blood python,granite,female,adult,
Factory,Blood python,het albino,unknown,yearling,
Factory,Milk snake,,male,adult,
Factory,Milk snake,,male,adult,pair
Factory,Milk snake,,female,adult,pair
Factory,Milk snake,,female,subadult,
Factory,False water cobra,,male,adult,pair
Factory,False water cobra,,female,adult,pair
Factory,False water cobra,,female,adult,
Factory,False water cobra,,female,subadult,
Factory,Ball python,pied,male,adult,
Factory,Ball python,pied banana,female,subadult,
Factory,Ball python,leopard,female,subadult,
Factory,Ball python,banana,male,subadult,
Factory,Ball python,spider,male,unknown,
Factory,Ball python,banana,male,unknown,
Factory,Angolan dwarf python,,male,subadult,pair
Factory,Angolan dwarf python,,female,subadult,pair
Factory,Taiwanese rat snake,,male,adult,pair
Factory,Taiwanese rat snake,,female,adult,pair
Factory,Spotted python,,female,subadult,
Factory,Spotted python,,female,adult,
Factory,Corn snake,,unknown,baby,
Factory,Corn snake,,male,unknown,
Factory,Corn snake,normal,unknown,unknown,
Factory,Corn snake,bloodred,female,yearling,
Factory,Corn snake,normal,female,yearling,
Factory,Dumeril's boa,,male,adult,
Factory,Blackhead python,,male,adult,pair
Factory,Blackhead python,,female,adult,pair
Factory,Blackhead python,,female,subadult,
Factory,White-lipped python,,female,subadult,
Factory,House snake,normal,unknown,baby,
Factory,House snake,black,unknown,unknown,
Factory,House snake,black,unknown,unknown,
Factory,House snake,black,unknown,unknown,
Factory,House snake,black,unknown,unknown,
Factory,House snake,albino,female,adult,
Factory,House snake,T+ albino,female,adult,
Factory,Children's python,,female,yearling,
