Handle,Image Src,Image Alt Text,Image Position,_SKU,_Image File
akwa-led-5w-white-blue,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-041.jpg,Akwa LED 5W White & Blue Light,1,LED0010,akwa_img-041.jpg
akwa-led-5w-multi-colour,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-042.jpg,Akwa LED 5W Multi Colour Light,1,LED0011,akwa_img-042.jpg
akwa-dophin-clamp-led-mini-tank,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-043.jpg,Akwa Dophin Clamp LED Mini Tank,1,LED0105,akwa_img-043.jpg
akwa-dophin-led-1088-rgb-35cm-12w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-044.jpg,Akwa Dophin LED-1088 RGB 35cm 12W,1,LED1088R,akwa_img-044.jpg
akwa-dophin-led-1089-biolux-45cm-17w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-045.jpg,Akwa Dophin LED-1089 BioLux 45cm 17W,1,LED1089B,akwa_img-045.jpg
akwa-dophin-led-1089-marine-45cm-17w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-049.jpg,Akwa Dophin LED-1089 Marine 45cm 17W,1,LED1089M,akwa_img-049.jpg
akwa-dophin-led-1089-rgb-45cm-17w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-053.jpg,Akwa Dophin LED-1089 RGB 45cm 17W,1,LED1089R,akwa_img-053.jpg
akwa-dophin-led-1090-marine-60cm-20w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-057.jpg,Akwa Dophin LED-1090 Marine 60cm 20W,1,LED1090M,akwa_img-057.jpg
akwa-dophin-led-1090-rgb-60cm-20w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-059.jpg,Akwa Dophin LED-1090 RGB 60cm 20W,1,LED1090R,akwa_img-059.jpg
akwa-fullgain-flat-led-10w-30cm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-061.jpg,Akwa Fullgain Flat LED 10W 30cm,1,FG0300,akwa_img-061.jpg
akwa-fullgain-flat-led-14w-45cm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-062.jpg,Akwa Fullgain Flat LED 14W 45cm,1,FG0301,akwa_img-062.jpg
akwa-fullgain-flat-led-18w-60cm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-063.jpg,Akwa Fullgain Flat LED 18W 60cm,1,FG0302,akwa_img-063.jpg
akwa-fullgain-flat-led-22w-75cm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-064.jpg,Akwa Fullgain Flat LED 22W 75cm,1,FG0303,akwa_img-064.jpg
akwa-fullgain-flat-led-26w-90cm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-065.jpg,Akwa Fullgain Flat LED 26W 90cm,1,FG0304,akwa_img-065.jpg
akwa-ocean-max-led-t4-200-white-4w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-066.jpg,Akwa Ocean Max LED T4-200 White 4W,1,LED4200W,akwa_img-066.jpg
akwa-ocean-max-led-t4-200-blue-white-4w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-067.jpg,Akwa Ocean Max LED T4-200 Blue White 4W,1,LED4200BW,akwa_img-067.jpg
akwa-ocean-max-led-t4-300-white-6w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-068.jpg,Akwa Ocean Max LED T4-300 White 6W,1,LED4300W,akwa_img-068.jpg
akwa-ocean-max-led-t4-300-blue-white-6w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-069.jpg,Akwa Ocean Max LED T4-300 Blue White 6W,1,LED4300BW,akwa_img-069.jpg
akwa-ocean-max-led-t4-400-white-7-5w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-070.jpg,Akwa Ocean Max LED T4-400 White 7.5W,1,LED4400W,akwa_img-070.jpg
akwa-ocean-max-led-t4-400-blue-white-7-5w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-071.jpg,Akwa Ocean Max LED T4-400 Blue White 7.5W,1,LED4400BW,akwa_img-071.jpg
akwa-ocean-max-led-t4-500-white-8w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-072.jpg,Akwa Ocean Max LED T4-500 White 8W,1,LED4500W,akwa_img-072.jpg
akwa-ocean-max-led-t4-500-blue-white-8w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-073.jpg,Akwa Ocean Max LED T4-500 Blue White 8W,1,LED4500BW,akwa_img-073.jpg
akwa-ocean-max-led-t4-600-white-10w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-074.jpg,Akwa Ocean Max LED T4-600 White 10W,1,LED4600W,akwa_img-074.jpg
akwa-ocean-max-led-t4-600-blue-white-10w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-075.jpg,Akwa Ocean Max LED T4-600 Blue White 10W,1,LED4600BW,akwa_img-075.jpg
akwa-ocean-max-led-t4-800-white-13-6w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-076.jpg,Akwa Ocean Max LED T4-800 White 13.6W,1,LED4800W,akwa_img-076.jpg
akwa-ocean-max-led-t4-800-blue-white-13-6w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-077.jpg,Akwa Ocean Max LED T4-800 Blue White 13.6W,1,LED4800BW,akwa_img-077.jpg
akwa-ocean-max-led-t4-1000-white-16-5w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-078.jpg,Akwa Ocean Max LED T4-1000 White 16.5W,1,LED41000W,akwa_img-078.jpg
akwa-ocean-max-led-t4-1000-blue-white-16-5w,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-079.jpg,Akwa Ocean Max LED T4-1000 Blue White 16.5W,1,LED41000BW,akwa_img-079.jpg
akwa-dophin-25w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-080.jpg,Akwa Dophin 25W Heater,1,HTR0202,akwa_img-080.jpg
akwa-dophin-50w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-081.jpg,Akwa Dophin 50W Heater,1,HTR0205,akwa_img-081.jpg
akwa-dophin-100w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-082.jpg,Akwa Dophin 100W Heater,1,HTR0210,akwa_img-082.jpg
akwa-dophin-150w-heater-300mm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-083.jpg,Akwa Dophin 150W Heater 300mm,1,HTR0215,akwa_img-083.jpg
akwa-dophin-200w-heater-310mm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-084.jpg,Akwa Dophin 200W Heater 310mm,1,HTR0220,akwa_img-084.jpg
akwa-dophin-300w-heater-360mm,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-085.jpg,Akwa Dophin 300W Heater 360mm,1,HTR0230,akwa_img-085.jpg
akwa-dophin-500w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-086.jpg,Akwa Dophin 500W Heater,1,HTR0250,akwa_img-086.jpg
akwa-sunsun-xrb-600w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-087.jpg,Akwa SunSun XRB-600W Heater,1,HTR0600,akwa_img-087.jpg
akwa-sunsun-xrb-1000w-heater,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-088.jpg,Akwa SunSun XRB-1000W Heater,1,HTR1000,akwa_img-088.jpg
akwa-ac-dc-air-pump-apq-505-510lh,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-089.jpg,Akwa AC/DC Air Pump APQ-505 510L/H,1,APS0505,akwa_img-089.jpg
akwa-ac-dc-air-pump-apq-510-1020lh,https://cdn.shopify.com/REPLACE_WITH_CDN_PATH/akwa_img-090.jpg,Akwa AC/DC Air Pump APQ-510 1020L/H,1,APS0510,akwa_img-090.jpg
