Handle,SKU,Product Title,Vendor,Source File,Bing Image Search URL,Image Src
zetlight-zn1050-led,ZETLN1050,Zetlight ZN1050 LED 3-in-1,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+ZN1050+LED+3-in-1,
zetlight-e3-24w-freshwater-plant,ZETE324WPLANT,Zetlight E3 24W Freshwater Plant,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+E3+24W+Freshwater+Plant,
zetlight-e3-24w-marine,ZETE324WMARINE,Zetlight E3 24W Marine,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+E3+24W+Marine,
zetlight-za1201ai-marine,ZETZA1201AI,Zetlight ZA1201AI Marine,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+ZA1201AI+Marine,
zetlight-o2-freshwater-hanging,ZETO2FRESHWATER,Zetlight O2 Freshwater Hanging Kits,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+O2+Freshwater+Hanging+Kits,
zetlight-ufo-f8-pro-algae,ZETUFO8PRO,Zetlight UFO F8 PRO Algae Bursting,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+UFO+F8+PRO+Algae+Bursting,
zetlight-x9-66w-marine-rgb,ZETX966WMARINE,Zetlight X9 66W Marine RGB,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+X9+66W+Marine+RGB,
zetlight-x9-pro-96w-marine-rgb,ZETX9PRO96W,Zetlight X9 PRO 96W Marine RGB,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+X9+PRO+96W+Marine+RGB,
zetlight-qmaven-ii-q6-90,ZETQMAVEN90,Zetlight Qmaven II Q6-90 Marine,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+Qmaven+II+Q6-90+Marine,
zetlight-qmaven-ii-q6-120,ZETQMAVEN120,Zetlight Qmaven II Q6-120 Marine,Zetlight,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv,https://www.bing.com/images/search?q=Zetlight+Qmaven+II+Q6-120+Marine,
